Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Option4 Name,Option4 Value,Option5 Name,Option5 Value,Option6 Name,Option6 Value,Option7 Name,Option7 Value
\u4e9a\u514b\u529b\u6bdb\u7ed2\u6302\u4ef6-\u8f6f\u4e4e\u4e4e-\u8352\u829c\u62c9\u666e\u5170\u5fb7/\u7f04\u9ed8\u5fb7\u514b\u8428\u65af/\u5fcd\u51ac,亚克力毛绒挂件-软乎乎 荒芜拉普兰德/缄默德克萨斯/忍冬,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,荒芜拉普兰德,25.2,缄默德克萨斯,25.2,斥罪,25.2,,,,,deny,manual,25.2,28.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN01OH5bWt1R8HHH9lXzL_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,忍冬,25.2,弑君者,25.2,伺夜,25.2,,,
\u76f2\u76d2\u4e9a\u514b\u529b\u6302\u4ef6-\u901a\u884c\u8ba4\u8bc144.0-,盲盒亚克力挂件-通行认证44.0 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,随机一抽,13.5,整盒,261.0,,,,,,,deny,manual,13.5,15.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i4/2206488662066/O1CN010lRUcO1R8HHEinnFP_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u89d2\u8272\u5fbd\u7ae0\u7ec4-\u8352\u829c\u62c9\u666e\u5170\u5fb7/\u5fcd\u51ac/\u5f11\u541b\u8005--\u660e\u65e5\u65b9\u821f,角色徽章组-荒芜拉普兰德/忍冬/弑君者  明日方舟,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,荒芜拉普兰德,18.0,忍冬,18.0,弑君者,18.0,,,,,deny,manual,18.0,20.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i4/2206488662066/O1CN01eZug9r1R8HHDfzAMU_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u89d2\u8272\u4e9a\u514b\u529b\u7acb\u724c-\u8352\u829c\u62c9\u666e\u5170\u5fb7/\u5fcd\u51ac/\u5f11\u541b\u8005--\u660e\u65e5\u65b9\u821f,角色亚克力立牌-荒芜拉普兰德/忍冬/弑君者  明日方舟,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,荒芜拉普兰德,36.0,忍冬,36.0,弑君者,36.0,,,,,deny,manual,36.0,40.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i2/2206488662066/O1CN01nH7H8D1R8HHFNyr3T_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u53cc\u95ea\u5fbd\u7ae0-\u5851\u5fc3/\u5723\u7ea6\u9001\u846c\u4eba/\u7f04\u9ed8\u5fb7\u514b\u8428\u65af/\u6e29\u7c73\u82cf\u82cf\u6d1b\u6b62\u9882,双闪徽章-塑心/圣约送葬人/缄默德克萨斯/温米苏苏洛止颂,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,塑心（无我唯识VER.）,9.0,圣约送葬人（众志归一VER.）,9.0,缄默德克萨斯（幽兰秘辛VER.）,9.0,,,,,deny,manual,9.0,10.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i2/2206488662066/O1CN01NO8Abg1R8HHEN7Xad_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,温米（街角暖绒VER.）,9.0,苏苏洛（随意而行VER.）,9.0,止颂（幻火VER.）,9.0,,,
\u7b7e\u540d\u677f-\u7ee7\u627f\u4eba\u7684\u8096\u50cf-,签名板-继承人的肖像 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,继承人的肖像,9.0,,,,,,,,,deny,manual,9.0,10.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN01FXkXJE1R8HHFP8o5H_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u89d2\u8272\u5fbd\u7ae0\u7ec4-\u7f04\u9ed8\u5fb7\u514b\u8428\u65af/\u65a5\u7f6a/\u4f3a\u591c-,角色徽章组-缄默德克萨斯/斥罪/伺夜 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,缄默德克萨斯,18.0,斥罪,18.0,伺夜,18.0,,,,,deny,manual,18.0,20.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i4/2206488662066/O1CN01g0XV181R8HHFHSpwj_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u89d2\u8272\u706b\u6f06\u5370\u5957\u7ec4-\u8352\u829c\u62c9\u666e\u5170\u5fb7-,角色火漆印套组-荒芜拉普兰德 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,荒芜拉普兰德,88.2,,,,,,,,,deny,manual,88.2,98.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN01Mskdn81R8HHEjXu3r_!!2-item_pic.png_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u9f20\u6807\u57ab-\u8f6f\u4e4e\u4e4e-\u8352\u829c\u62c9\u666e\u5170\u5fb7/\u7f04\u9ed8\u5fb7\u514b\u8428\u65af/\u5fcd\u51ac/\u5f11\u541b\u8005,鼠标垫-软乎乎 荒芜拉普兰德/缄默德克萨斯/忍冬/弑君者,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,荒芜拉普兰德,13.5,缄默德克萨斯,13.5,斥罪,13.5,,,,,deny,manual,13.5,15.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN019uG9By1R8HHDCVRHd_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,忍冬,13.5,弑君者,13.5,伺夜,13.5,,,
\u4e9a\u514b\u529b\u7816-\u7ee7\u627f\u4eba\u7684\u5fc5\u4fee\u8bfe-,亚克力砖-继承人的必修课 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,A款,10.8,B款,10.8,C款,10.8,,,,,deny,manual,10.8,12.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i4/2206488662066/O1CN01DXRPnR1R8HHC3tvPh_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,D款,10.8,E款,10.8,F款,10.8,,,
